graph_file,graph_stem,graph_path,summary_graph_path,labeled_summary_graph_path,model_name,temperature,label_scheme,status,num_supernodes,labelled_supernodes,error,traceback
000.pt,000,dataset/analogies/000.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/000.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/000.pt,gemma-4-31b-it,0.2,one_pass,ok,15,8,,
001.pt,001,dataset/analogies/001.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/001.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/001.pt,gemma-4-31b-it,0.2,one_pass,ok,12,10,,
002.pt,002,dataset/analogies/002.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/002.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/002.pt,gemma-4-31b-it,0.2,one_pass,ok,12,10,,
003.pt,003,dataset/analogies/003.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/003.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/003.pt,gemma-4-31b-it,0.2,one_pass,ok,13,11,,
004.pt,004,dataset/analogies/004.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/004.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/004.pt,gemma-4-31b-it,0.2,one_pass,ok,16,13,,
005.pt,005,dataset/analogies/005.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/005.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/005.pt,gemma-4-31b-it,0.2,one_pass,ok,15,7,,
006.pt,006,dataset/analogies/006.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/006.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/006.pt,gemma-4-31b-it,0.2,one_pass,ok,18,10,,
007.pt,007,dataset/analogies/007.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/007.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/007.pt,gemma-4-31b-it,0.2,one_pass,ok,12,9,,
008.pt,008,dataset/analogies/008.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/008.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/008.pt,gemma-4-31b-it,0.2,one_pass,ok,9,6,,
009.pt,009,dataset/analogies/009.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/009.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/009.pt,gemma-4-31b-it,0.2,one_pass,ok,17,11,,
010.pt,010,dataset/analogies/010.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/010.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/010.pt,gemma-4-31b-it,0.2,one_pass,ok,18,7,,
011.pt,011,dataset/analogies/011.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/011.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/011.pt,gemma-4-31b-it,0.2,one_pass,ok,12,8,,
012.pt,012,dataset/analogies/012.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/012.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/012.pt,gemma-4-31b-it,0.2,one_pass,ok,15,11,,
013.pt,013,dataset/analogies/013.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/013.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/013.pt,gemma-4-31b-it,0.2,one_pass,ok,12,9,,
014.pt,014,dataset/analogies/014.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/014.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/014.pt,gemma-4-31b-it,0.2,one_pass,ok,17,11,,
015.pt,015,dataset/analogies/015.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/015.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/015.pt,gemma-4-31b-it,0.2,one_pass,ok,19,14,,
016.pt,016,dataset/analogies/016.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/016.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/016.pt,gemma-4-31b-it,0.2,one_pass,ok,12,10,,
017.pt,017,dataset/analogies/017.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/017.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/017.pt,gemma-4-31b-it,0.2,one_pass,ok,11,8,,
018.pt,018,dataset/analogies/018.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/018.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/018.pt,gemma-4-31b-it,0.2,one_pass,ok,14,9,,
019.pt,019,dataset/analogies/019.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/019.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/019.pt,gemma-4-31b-it,0.2,one_pass,ok,14,12,,
020.pt,020,dataset/analogies/020.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/020.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/020.pt,gemma-4-31b-it,0.2,one_pass,ok,14,9,,
021.pt,021,dataset/analogies/021.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/021.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/021.pt,gemma-4-31b-it,0.2,one_pass,ok,14,11,,
022.pt,022,dataset/analogies/022.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/022.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/022.pt,gemma-4-31b-it,0.2,one_pass,ok,12,6,,
023.pt,023,dataset/analogies/023.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/023.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/023.pt,gemma-4-31b-it,0.2,one_pass,ok,14,10,,
024.pt,024,dataset/analogies/024.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/024.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/024.pt,gemma-4-31b-it,0.2,one_pass,ok,12,6,,
025.pt,025,dataset/analogies/025.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/025.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/025.pt,gemma-4-31b-it,0.2,one_pass,ok,17,9,,
026.pt,026,dataset/analogies/026.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/026.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/026.pt,gemma-4-31b-it,0.2,one_pass,ok,14,10,,
027.pt,027,dataset/analogies/027.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/027.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/027.pt,gemma-4-31b-it,0.2,one_pass,ok,17,11,,
028.pt,028,dataset/analogies/028.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/028.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/028.pt,gemma-4-31b-it,0.2,one_pass,ok,8,6,,
029.pt,029,dataset/analogies/029.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/029.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/029.pt,gemma-4-31b-it,0.2,one_pass,ok,12,8,,
030.pt,030,dataset/analogies/030.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/030.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/030.pt,gemma-4-31b-it,0.2,one_pass,ok,12,9,,
031.pt,031,dataset/analogies/031.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/031.pt,summary_graphs/multihop/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/031.pt,gemma-4-31b-it,0.2,one_pass,ok,15,13,,
