relation_idx,relation_name,source_factor,donor_factor,n_attempted,n_eligible,n_success,n_success_exact,n_top1_hits,n_top1_hits_exact,n_top5_hits,n_top5_hits_exact,success_rate,success_exact_rate,eligible_success_rate,eligible_success_exact_rate,top1_hit_rate,top1_hit_exact_rate,top1_is_donor_rate,top1_is_donor_exact_rate,top5_hit_rate,top5_hit_exact_rate,eligible_top5_hit_rate,eligible_top5_hit_exact_rate,mean_p_source_clean,mean_p_source_steered,mean_p_donor_clean,mean_p_donor_steered,n_skipped,n_skipped_same_target_token,n_skipped_source_missing_output_role,n_skipped_source_no_usable_clt_features,n_skipped_donor_missing_output_role,n_skipped_donor_no_usable_clt_features
0,capital_country,0.0,2.0,50,50,5,5,5,5,13,13,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.26,0.26,0.26,0.26,0.7554055804014206,0.6684958955897309,0.0009026741714106423,0.06820973086446223,0,0,0,0,0,0
0,capital_country,0.0,4.0,50,50,10,7,10,7,18,18,0.2,0.14,0.2,0.14,0.2,0.14,0.2,0.14,0.36,0.36,0.36,0.36,0.7554055804014206,0.4298678499568384,0.0009026741714106423,0.11087382267763984,0,0,0,0,0,0
0,capital_country,0.0,8.0,50,50,11,6,11,6,22,21,0.22,0.12,0.22,0.12,0.22,0.12,0.22,0.12,0.44,0.42,0.44,0.42,0.7554055804014206,0.199396930752464,0.0009026741714106423,0.11468058317179702,0,0,0,0,0,0
