source_set,graph_file,graph_stem,graph_path,shap_json,shap_row_index,masker_keep_prefix,normalize_method,node_threshold,edge_threshold,combine_method,score_normalization,alpha,logit_weights,keep_all_tokens_and_logits,filter_act_density,act_density_lb,act_density_ub,num_nodes,num_edges,prune_graph_path
clt-hp,031.pt,031,graphs/031.pt,demos/shap_values_analogies.json,26,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,17,123,pruned_graph/analogies/clt-hp/softmax/node_0.01/031_prune_graph.pt
clt-hp,032.pt,032,graphs/032.pt,demos/shap_values_analogies.json,27,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,18,113,pruned_graph/analogies/clt-hp/softmax/node_0.01/032_prune_graph.pt
clt-hp,033.pt,033,graphs/033.pt,demos/shap_values_analogies.json,28,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,14,75,pruned_graph/analogies/clt-hp/softmax/node_0.01/033_prune_graph.pt
clt-hp,034.pt,034,graphs/034.pt,demos/shap_values_analogies.json,29,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,19,130,pruned_graph/analogies/clt-hp/softmax/node_0.01/034_prune_graph.pt
clt-hp,038.pt,038,graphs/038.pt,demos/shap_values_analogies.json,30,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,15,96,pruned_graph/analogies/clt-hp/softmax/node_0.01/038_prune_graph.pt
clt-hp,039.pt,039,graphs/039.pt,demos/shap_values_analogies.json,31,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,18,113,pruned_graph/analogies/clt-hp/softmax/node_0.01/039_prune_graph.pt
clt-hp,040.pt,040,graphs/040.pt,demos/shap_values_analogies.json,32,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,21,176,pruned_graph/analogies/clt-hp/softmax/node_0.01/040_prune_graph.pt
clt-hp,042.pt,042,graphs/042.pt,demos/shap_values_analogies.json,33,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,16,106,pruned_graph/analogies/clt-hp/softmax/node_0.01/042_prune_graph.pt
clt-hp,043.pt,043,graphs/043.pt,demos/shap_values_analogies.json,34,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,16,107,pruned_graph/analogies/clt-hp/softmax/node_0.01/043_prune_graph.pt
clt-hp,045.pt,045,graphs/045.pt,demos/shap_values_analogies.json,35,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,18,133,pruned_graph/analogies/clt-hp/softmax/node_0.01/045_prune_graph.pt
clt-hp,046.pt,046,graphs/046.pt,demos/shap_values_analogies.json,36,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,17,102,pruned_graph/analogies/clt-hp/softmax/node_0.01/046_prune_graph.pt
clt-hp,048.pt,048,graphs/048.pt,demos/shap_values_analogies.json,37,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,16,106,pruned_graph/analogies/clt-hp/softmax/node_0.01/048_prune_graph.pt
clt-hp,049.pt,049,graphs/049.pt,demos/shap_values_analogies.json,38,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,14,72,pruned_graph/analogies/clt-hp/softmax/node_0.01/049_prune_graph.pt
clt-hp,051.pt,051,graphs/051.pt,demos/shap_values_analogies.json,39,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,18,145,pruned_graph/analogies/clt-hp/softmax/node_0.01/051_prune_graph.pt
clt-hp,055.pt,055,graphs/055.pt,demos/shap_values_analogies.json,40,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,17,108,pruned_graph/analogies/clt-hp/softmax/node_0.01/055_prune_graph.pt
clt-hp,057.pt,057,graphs/057.pt,demos/shap_values_analogies.json,41,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,17,113,pruned_graph/analogies/clt-hp/softmax/node_0.01/057_prune_graph.pt
clt-hp,058.pt,058,graphs/058.pt,demos/shap_values_analogies.json,42,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,17,118,pruned_graph/analogies/clt-hp/softmax/node_0.01/058_prune_graph.pt
clt-hp,060.pt,060,graphs/060.pt,demos/shap_values_analogies.json,43,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,20,159,pruned_graph/analogies/clt-hp/softmax/node_0.01/060_prune_graph.pt
clt-hp,061.pt,061,graphs/061.pt,demos/shap_values_analogies.json,44,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,16,101,pruned_graph/analogies/clt-hp/softmax/node_0.01/061_prune_graph.pt
clt-hp,062.pt,062,graphs/062.pt,demos/shap_values_analogies.json,45,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,16,103,pruned_graph/analogies/clt-hp/softmax/node_0.01/062_prune_graph.pt
clt-hp,065.pt,065,graphs/065.pt,demos/shap_values_analogies.json,46,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,17,121,pruned_graph/analogies/clt-hp/softmax/node_0.01/065_prune_graph.pt
clt-hp,068.pt,068,graphs/068.pt,demos/shap_values_analogies.json,47,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,18,114,pruned_graph/analogies/clt-hp/softmax/node_0.01/068_prune_graph.pt
clt-hp,073.pt,073,graphs/073.pt,demos/shap_values_analogies.json,48,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,11,44,pruned_graph/analogies/clt-hp/softmax/node_0.01/073_prune_graph.pt
clt-hp,077.pt,077,graphs/077.pt,demos/shap_values_analogies.json,49,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,18,115,pruned_graph/analogies/clt-hp/softmax/node_0.01/077_prune_graph.pt
clt-hp,078.pt,078,graphs/078.pt,demos/shap_values_analogies.json,50,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,17,103,pruned_graph/analogies/clt-hp/softmax/node_0.01/078_prune_graph.pt
clt-hp,081.pt,081,graphs/081.pt,demos/shap_values_analogies.json,51,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,20,161,pruned_graph/analogies/clt-hp/softmax/node_0.01/081_prune_graph.pt
clt-hp,083.pt,083,graphs/083.pt,demos/shap_values_analogies.json,52,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,19,139,pruned_graph/analogies/clt-hp/softmax/node_0.01/083_prune_graph.pt
clt-hp,084.pt,084,graphs/084.pt,demos/shap_values_analogies.json,53,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,14,84,pruned_graph/analogies/clt-hp/softmax/node_0.01/084_prune_graph.pt
clt-hp,086.pt,086,graphs/086.pt,demos/shap_values_analogies.json,54,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,20,157,pruned_graph/analogies/clt-hp/softmax/node_0.01/086_prune_graph.pt
clt-hp,090.pt,090,graphs/090.pt,demos/shap_values_analogies.json,55,4,softmax,0.01,0.95,geometric,rank,0.5,target,False,True,2e-05,0.1,15,80,pruned_graph/analogies/clt-hp/softmax/node_0.01/090_prune_graph.pt
