solver,graphs,matched_k,sil_norm,L_atom_norm,internalized_mass_fraction,dag_removed_mass_fraction,final_retained_mass_fraction,n_superedges,L
ours-summary,100,11.53,0.520431728652838,0.5190552859355038,0.04905598977247991,0.09835028918245456,0.7361719609271611,99.12,0.28405563785399185
baseline-spectral-cosine,100,11.53,0.48267019530351524,0.5112306945227446,0.10812215745847491,0.12571564568417812,0.6522234603165695,96.94,0.30967642599060974
baseline-kmeans,100,11.53,0.7528855400962433,0.555362888781083,0.0861610266688468,0.14229892304465738,0.681102056039067,97.17,0.3207619577249649
baseline-spectral-adj,100,11.53,0.2868293889971174,0.6851860408662224,0.1589693760039488,0.18180744240981045,0.5316148782593667,93.32,0.4220777084350856
baseline-random-same-size,100,11.53,0.20458097119104046,0.6688294285466548,0.07620238272720944,0.20581999671342213,0.5651615562403499,93.84,0.37251590563693215
