solver,graphs,upstream_intra,upstream_gap,downstream_intra,downstream_gap,signed_downstream_intra,signed_downstream_gap,low_downstream_pair_frac
ours-summary,100,0.7023884609520314,0.20694825790419022,0.5957616522815455,0.09786948488204769,0.3704575052732944,0.29072645584427315,0.0031494154944810434
baseline-spectral-cosine,100,0.6702032264276582,0.17319822976860505,0.5364274815460474,0.027243936482811336,0.2416480829884083,0.13987168537421119,0.01128903492290864
baseline-kmeans,100,0.7366324885235969,0.2389145837895878,0.5467982907771785,0.03822432281653636,0.37125090823793927,0.2823762965178937,0.008406747238477463
baseline-spectral-adj,100,0.6452383374174734,0.12896517106323266,0.5520679584587954,0.043386965949741875,0.13613782898803156,0.013168287775411276,0.01699853232751131
baseline-random-same-size,100,0.5289912157113104,0.0008314273417395607,0.5245142057041252,0.0135513364953552,0.12808290717620102,0.004958094079477243,0.012799549969470103
