normalization,graph_file,graph_stem,graph_path,status,num_supernodes,summary_graph_path,feature_supernodes
softmax,047.pt,047,dataset/analogies/047.pt,ok,18,summary_graphs/softmax/alpha_0.50/node_0.02/047_summary_graph.pt,8
softmax,048.pt,048,dataset/analogies/048.pt,ok,25,summary_graphs/softmax/alpha_0.50/node_0.02/048_summary_graph.pt,11
softmax,049.pt,049,dataset/analogies/049.pt,ok,15,summary_graphs/softmax/alpha_0.50/node_0.02/049_summary_graph.pt,9
softmax,050.pt,050,dataset/analogies/050.pt,ok,14,summary_graphs/softmax/alpha_0.50/node_0.02/050_summary_graph.pt,10
softmax,051.pt,051,dataset/analogies/051.pt,ok,21,summary_graphs/softmax/alpha_0.50/node_0.02/051_summary_graph.pt,7
softmax,052.pt,052,dataset/analogies/052.pt,ok,17,summary_graphs/softmax/alpha_0.50/node_0.02/052_summary_graph.pt,13
softmax,053.pt,053,dataset/analogies/053.pt,ok,19,summary_graphs/softmax/alpha_0.50/node_0.02/053_summary_graph.pt,8
softmax,054.pt,054,dataset/analogies/054.pt,ok,18,summary_graphs/softmax/alpha_0.50/node_0.02/054_summary_graph.pt,14
softmax,055.pt,055,dataset/analogies/055.pt,ok,14,summary_graphs/softmax/alpha_0.50/node_0.02/055_summary_graph.pt,10
softmax,056.pt,056,dataset/analogies/056.pt,ok,22,summary_graphs/softmax/alpha_0.50/node_0.02/056_summary_graph.pt,13
softmax,057.pt,057,dataset/analogies/057.pt,ok,15,summary_graphs/softmax/alpha_0.50/node_0.02/057_summary_graph.pt,9
softmax,058.pt,058,dataset/analogies/058.pt,ok,18,summary_graphs/softmax/alpha_0.50/node_0.02/058_summary_graph.pt,13
softmax,059.pt,059,dataset/analogies/059.pt,ok,18,summary_graphs/softmax/alpha_0.50/node_0.02/059_summary_graph.pt,13
softmax,060.pt,060,dataset/analogies/060.pt,ok,16,summary_graphs/softmax/alpha_0.50/node_0.02/060_summary_graph.pt,12
softmax,061.pt,061,dataset/analogies/061.pt,ok,21,summary_graphs/softmax/alpha_0.50/node_0.02/061_summary_graph.pt,15
softmax,062.pt,062,dataset/analogies/062.pt,ok,26,summary_graphs/softmax/alpha_0.50/node_0.02/062_summary_graph.pt,12
softmax,063.pt,063,dataset/analogies/063.pt,ok,22,summary_graphs/softmax/alpha_0.50/node_0.02/063_summary_graph.pt,12
softmax,064.pt,064,dataset/analogies/064.pt,ok,17,summary_graphs/softmax/alpha_0.50/node_0.02/064_summary_graph.pt,14
softmax,065.pt,065,dataset/analogies/065.pt,ok,14,summary_graphs/softmax/alpha_0.50/node_0.02/065_summary_graph.pt,9
softmax,066.pt,066,dataset/analogies/066.pt,ok,23,summary_graphs/softmax/alpha_0.50/node_0.02/066_summary_graph.pt,8
softmax,067.pt,067,dataset/analogies/067.pt,ok,18,summary_graphs/softmax/alpha_0.50/node_0.02/067_summary_graph.pt,13
softmax,068.pt,068,dataset/analogies/068.pt,ok,19,summary_graphs/softmax/alpha_0.50/node_0.02/068_summary_graph.pt,6
softmax,069.pt,069,dataset/analogies/069.pt,ok,18,summary_graphs/softmax/alpha_0.50/node_0.02/069_summary_graph.pt,13
softmax,070.pt,070,dataset/analogies/070.pt,ok,20,summary_graphs/softmax/alpha_0.50/node_0.02/070_summary_graph.pt,9
softmax,071.pt,071,dataset/analogies/071.pt,ok,17,summary_graphs/softmax/alpha_0.50/node_0.02/071_summary_graph.pt,11
softmax,072.pt,072,dataset/analogies/072.pt,ok,20,summary_graphs/softmax/alpha_0.50/node_0.02/072_summary_graph.pt,10
softmax,073.pt,073,dataset/analogies/073.pt,ok,23,summary_graphs/softmax/alpha_0.50/node_0.02/073_summary_graph.pt,10
softmax,074.pt,074,dataset/analogies/074.pt,ok,20,summary_graphs/softmax/alpha_0.50/node_0.02/074_summary_graph.pt,12
softmax,075.pt,075,dataset/analogies/075.pt,ok,19,summary_graphs/softmax/alpha_0.50/node_0.02/075_summary_graph.pt,7
softmax,076.pt,076,dataset/analogies/076.pt,ok,20,summary_graphs/softmax/alpha_0.50/node_0.02/076_summary_graph.pt,8
softmax,077.pt,077,dataset/analogies/077.pt,ok,21,summary_graphs/softmax/alpha_0.50/node_0.02/077_summary_graph.pt,7
softmax,078.pt,078,dataset/analogies/078.pt,ok,22,summary_graphs/softmax/alpha_0.50/node_0.02/078_summary_graph.pt,9
softmax,079.pt,079,dataset/analogies/079.pt,ok,20,summary_graphs/softmax/alpha_0.50/node_0.02/079_summary_graph.pt,9
softmax,080.pt,080,dataset/analogies/080.pt,ok,19,summary_graphs/softmax/alpha_0.50/node_0.02/080_summary_graph.pt,6
softmax,081.pt,081,dataset/analogies/081.pt,ok,20,summary_graphs/softmax/alpha_0.50/node_0.02/081_summary_graph.pt,10
softmax,082.pt,082,dataset/analogies/082.pt,ok,18,summary_graphs/softmax/alpha_0.50/node_0.02/082_summary_graph.pt,7
softmax,083.pt,083,dataset/analogies/083.pt,ok,20,summary_graphs/softmax/alpha_0.50/node_0.02/083_summary_graph.pt,8
softmax,084.pt,084,dataset/analogies/084.pt,ok,17,summary_graphs/softmax/alpha_0.50/node_0.02/084_summary_graph.pt,5
softmax,085.pt,085,dataset/analogies/085.pt,ok,21,summary_graphs/softmax/alpha_0.50/node_0.02/085_summary_graph.pt,10
softmax,086.pt,086,dataset/analogies/086.pt,ok,20,summary_graphs/softmax/alpha_0.50/node_0.02/086_summary_graph.pt,7
