graph_file,graph_stem,graph_path,summary_graph_path,labeled_summary_graph_path,model_name,temperature,label_scheme,status,num_supernodes,labelled_supernodes
087.pt,087,dataset/analogies/087.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/087.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/087.pt,gemma-4-31b-it,0.2,one_pass,ok,12,8
088.pt,088,dataset/analogies/088.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/088.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/088.pt,gemma-4-31b-it,0.2,one_pass,ok,11,7
089.pt,089,dataset/analogies/089.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/089.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/089.pt,gemma-4-31b-it,0.2,one_pass,ok,13,11
090.pt,090,dataset/analogies/090.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/090.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/090.pt,gemma-4-31b-it,0.2,one_pass,ok,13,11
091.pt,091,dataset/analogies/091.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/091.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/091.pt,gemma-4-31b-it,0.2,one_pass,ok,14,12
092.pt,092,dataset/analogies/092.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/092.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/092.pt,gemma-4-31b-it,0.2,one_pass,ok,10,8
093.pt,093,dataset/analogies/093.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/093.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/093.pt,gemma-4-31b-it,0.2,one_pass,ok,13,10
094.pt,094,dataset/analogies/094.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/094.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/094.pt,gemma-4-31b-it,0.2,one_pass,ok,13,11
095.pt,095,dataset/analogies/095.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/095.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/095.pt,gemma-4-31b-it,0.2,one_pass,ok,13,11
096.pt,096,dataset/analogies/096.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/096.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/096.pt,gemma-4-31b-it,0.2,one_pass,ok,13,10
097.pt,097,dataset/analogies/097.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/097.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/097.pt,gemma-4-31b-it,0.2,one_pass,ok,15,12
